,benchmark,cpu_lim,mem_lim,data_size,exec_time,mem_usage,mem_util
48,matmult,64,2048,7000,2.0455994606018066,1179.03515625,57.57007598876953
49,matmult,64,2048,7000,3.094409704208374,1179.03515625,57.57007598876953
50,matmult,32,2048,3000,0.19974946975708008,246.80078125,12.050819396972656
51,matmult,32,2048,3000,0.25105881690979004,247.2265625,12.071609497070312
52,matmult,32,2048,3000,0.34111666679382324,247.2265625,12.071609497070312
53,matmult,32,2048,3000,0.2245194911956787,247.53125,12.08648681640625
54,matmult,32,2048,3000,0.21450543403625488,247.53125,12.08648681640625
55,matmult,32,2048,3000,0.26833462715148926,248.09765625,12.114143371582031
56,matmult,32,2048,3000,0.261610746383667,248.1015625,12.114334106445312
57,matmult,32,2048,3000,0.20777177810668945,248.1015625,12.114334106445312
58,matmult,32,2048,3000,0.20701313018798828,248.1015625,12.114334106445312
59,matmult,32,2048,3000,0.22022128105163574,248.1015625,12.114334106445312
60,matmult,16,2048,5000,1.935786485671997,620.64453125,30.304908752441406
61,matmult,16,2048,5000,2.0159287452697754,621.01953125,30.323219299316406
62,matmult,16,2048,5000,1.7003107070922852,621.01953125,30.323219299316406
63,matmult,16,2048,5000,1.8046770095825195,621.01953125,30.323219299316406
64,matmult,16,2048,5000,1.678419828414917,621.01953125,30.323219299316406
65,matmult,16,2048,5000,1.8328611850738525,621.01953125,30.323219299316406
66,matmult,16,2048,5000,1.8943421840667725,621.01953125,30.323219299316406
67,matmult,16,2048,5000,1.7018651962280273,621.01953125,30.323219299316406
68,matmult,16,2048,5000,1.6771039962768555,621.1875,30.3314208984375
69,matmult,16,2048,5000,1.7737255096435547,621.1875,30.3314208984375
70,matmult,48,2048,8000,1.7742443084716797,1526.44921875,74.53365325927734
71,matmult,48,2048,8000,1.776118278503418,1526.7734375,74.54948425292969
72,matmult,48,2048,8000,2.227459192276001,1526.7734375,74.54948425292969
73,matmult,48,2048,8000,2.6072287559509277,1526.7734375,74.54948425292969
74,matmult,48,2048,8000,2.9617340564727783,1526.7734375,74.54948425292969
75,matmult,48,2048,8000,3.1418416500091553,1526.7734375,74.54948425292969
76,matmult,48,2048,8000,3.2989649772644043,1526.7734375,74.54948425292969
77,matmult,48,2048,8000,3.502045154571533,1526.7734375,74.54948425292969
78,matmult,48,2048,8000,2.9221420288085938,1526.7734375,74.54948425292969
79,matmult,48,2048,8000,2.356715679168701,1526.7734375,74.54948425292969
80,matmult,80,2048,6000,0.9510366916656494,875.72265625,42.75989532470703
81,matmult,80,2048,6000,0.9985494613647461,876.5390625,42.79975891113281
